Channel,Product,Smoker,Joint?,Person1 Age,Term,TotalPremium,Sale,JF (Score),EF (No. of people not same surname at current address),ND (Months since last CCJ)
CTM,Level,Y,Y,53.0,5,3.95,0,9999,1,1
CTM,Level,Y,N,37.0,30,4.31,0,9999,1,1
CTM,Level,Y,Y,47.0,20,4.2,0,9999,1,1
CTM,Decreasing,N,Y,56.0,10,4.6,0,9999,1,1
MSM,Decreasing with CI,Y,N,37.0,15,5.08,0,9999,1,1
Direct,Level accelerated,Y,N,46.0,20,6.74,0,9999,1,1
CTM,Level with CI,Y,N,52.0,10,7.53,0,9999,1,1
CTM,Decreasing accelerated,Y,N,54.0,10,8.35,0,9999,1,1
Direct,Level with CI,Y,N,49.0,20,3.18,0,9999,1,1
Direct,Level with CI,Y,N,47.0,5,3.43,0,9999,1,1
CTM,Level accelerated,Y,N,51.0,30,3.78,0,9999,1,1
Direct,Level with CI,N,N,44.0,30,3.35,0,9999,1,1
CTM,Decreasing,Y,N,46.0,20,3.63,0,9999,1,1
CTM,Decreasing,N,N,40.0,10,4.0,0,9999,1,1
Direct,Level,N,N,27.0,30,12.26,0,9999,1,1
MSM,Level,Y,N,35.0,30,40.11,0,9999,1,1
Direct,Decreasing with CI,Y,N,56.0,20,8.6,0,9999,1,1
MSM,Level,Y,Y,47.0,25,20.0,0,581,0,1
CTM,Level accelerated,Y,Y,32.0,20,10.35,1,556,0,1
MSM,Level,Y,N,57.0,10,10.35,1,556,0,1
MSM,Level,Y,Y,36.0,20,10.35,1,556,0,1
CTM,Decreasing with CI,N,N,39.0,5,10.35,1,556,0,1
Direct,Decreasing accelerated,Y,Y,33.0,20,88.62,0,593,0,1
MSM,Decreasing with CI,Y,Y,48.0,35,88.62,0,593,0,1
CTM,Level with CI,Y,N,32.0,20,45.65,0,9999,1,1
CTM,Decreasing with CI,Y,N,46.0,10,51.15,0,9999,1,1
CTM,Level,N,Y,53.0,5,23.39,0,568,0,1
Direct,Level accelerated,Y,Y,50.0,15,15.0,0,568,0,1
CTM,Decreasing with CI,N,N,47.0,20,65.75,0,568,0,1
Direct,Level,Y,N,23.0,30,15.01,0,568,0,1
Direct,Decreasing with CI,Y,Y,51.0,15,36.84,0,568,0,1
CTM,Decreasing,N,N,37.0,20,46.48,0,568,0,1
Direct,Decreasing with CI,Y,Y,62.0,20,15.0,0,568,0,1
CTM,Level with CI,Y,N,57.0,30,15.61,0,568,0,1
MSM,Decreasing with CI,N,N,26.0,20,23.83,1,558,0,1
CTM,Decreasing with CI,Y,Y,48.0,30,23.83,1,558,0,1
CTM,Level with CI,Y,Y,48.0,20,23.83,1,558,0,1
Direct,Level,Y,N,46.0,20,15.0,0,568,0,1
CTM,Level accelerated,N,Y,49.0,30,16.42,0,568,0,1
CTM,Decreasing,N,Y,43.0,20,17.61,1,568,0,1
CTM,Level,Y,Y,52.0,30,28.85,0,9999,1,1
MSM,Level with CI,Y,N,32.0,20,7.08,0,9999,1,1
CTM,Level,Y,N,43.0,10,7.08,0,9999,1,1
CTM,Level accelerated,N,Y,39.0,10,19.37,0,532,0,1
MSM,Level,Y,N,45.0,40,143.14,0,485,1,1
Direct,Decreasing,Y,Y,46.0,10,5.44,0,9999,1,1
Direct,Decreasing,Y,N,44.0,30,11.64,0,564,0,1
MSM,Level accelerated,N,N,34.0,30,11.64,0,564,0,1
CTM,Decreasing,Y,N,47.0,25,14.14,0,557,0,1
CTM,Level,Y,Y,57.0,20,14.14,0,557,0,1
CTM,Level,N,Y,36.0,40,23.31,0,9999,1,1
MSM,Decreasing accelerated,Y,N,43.0,10,24.36,0,583,0,1
Direct,Decreasing with CI,Y,N,42.0,20,6.9,0,540,0,1
CTM,Decreasing accelerated,Y,Y,46.0,20,9.93,0,540,0,1
CTM,Decreasing with CI,Y,N,51.0,20,23.42,0,572,0,1
CTM,Decreasing with CI,Y,N,47.0,30,29.73,0,587,0,1
Direct,Decreasing with CI,N,Y,43.0,20,29.99,0,587,0,1
MSM,Decreasing accelerated,Y,N,36.0,20,77.46,0,587,0,1
MSM,Level accelerated,Y,N,42.0,20,77.46,0,587,0,1
CTM,Level accelerated,Y,Y,35.0,25,68.41,0,602,0,1
Direct,Decreasing with CI,Y,Y,63.0,30,64.05,0,567,0,1
MSM,Level with CI,N,N,51.0,30,46.42,0,567,0,1
CTM,Level accelerated,Y,N,39.0,30,46.42,0,567,0,1
Direct,Level accelerated,Y,N,59.0,20,35.18,0,567,0,1
MSM,Level,Y,N,53.0,5,4.97,0,9999,1,1
MSM,Level with CI,Y,N,48.0,30,5.38,0,9999,1,1
Direct,Level,Y,N,45.0,20,5.88,0,9999,1,1
MSM,Level,Y,Y,58.0,20,8.85,0,9999,1,1
MSM,Level,N,Y,39.0,5,9.69,0,9999,1,1
CTM,Level with CI,Y,N,45.0,30,10.58,0,9999,1,1
Direct,Level,N,Y,47.0,15,6.1,0,9999,1,1
Direct,Level,Y,Y,40.0,20,6.88,0,9999,1,1
CTM,Level with CI,Y,N,42.0,15,7.85,0,9999,1,1
Direct,Level accelerated,Y,N,52.0,10,4.81,0,9999,1,1
Direct,Decreasing,N,N,51.0,30,5.36,0,9999,1,1
CTM,Level,Y,Y,42.0,10,6.08,0,9999,1,1
CTM,Level,N,N,45.0,5,24.14,0,9999,1,1
CTM,Level,Y,N,34.0,25,6.96,0,9999,1,1
MSM,Level with CI,N,Y,37.0,30,7.88,0,9999,1,1
MSM,Level accelerated,Y,N,41.0,10,9.03,0,9999,1,1
MSM,Level accelerated,N,N,37.0,15,11.25,0,9999,1,1
MSM,Level,Y,Y,46.0,20,12.93,0,9999,1,1
Direct,Level,N,N,33.0,5,14.95,0,9999,1,1
CTM,Decreasing with CI,N,N,42.0,20,227.1,0,9999,1,1
Direct,Level accelerated,N,Y,53.0,30,76.58,0,9999,1,1
CTM,Level,N,N,44.0,30,227.1,0,9999,1,1
Direct,Level with CI,N,Y,46.0,30,28.98,0,9999,1,1
CTM,Decreasing with CI,Y,N,48.0,20,36.0,0,580,0,1
Direct,Decreasing with CI,N,N,44.0,20,36.0,0,580,0,1
CTM,Level with CI,N,N,56.0,20,20.0,0,9999,1,1
MSM,Level,Y,N,45.0,10,11.76,0,564,0,1
MSM,Decreasing with CI,Y,Y,54.0,10,179.88,0,485,1,1
CTM,Decreasing accelerated,N,Y,38.0,20,15.37,0,574,0,1
CTM,Decreasing accelerated,N,N,34.0,30,15.37,0,574,0,1
MSM,Decreasing,N,N,23.0,35,17.14,0,574,0,1
MSM,Level with CI,N,N,45.0,20,29.4,1,567,0,1
Direct,Decreasing accelerated,Y,Y,60.0,15,29.4,1,567,0,1
MSM,Level accelerated,N,N,55.0,20,38.2,1,567,0,1
CTM,Level,Y,Y,64.0,20,38.2,1,567,0,1
MSM,Level,N,N,26.0,20,28.5,0,514,0,1
CTM,Level,Y,N,56.0,30,28.5,0,514,0,1
CTM,Level with CI,Y,Y,41.0,5,28.5,0,514,0,1
CTM,Level,Y,N,44.0,30,28.5,0,514,0,1
CTM,Level with CI,N,N,45.0,20,28.5,0,514,0,1
CTM,Decreasing with CI,Y,N,53.0,30,174.85,0,9999,1,1
Direct,Level with CI,Y,N,46.0,40,69.57,0,573,0,1
MSM,Level with CI,Y,Y,47.0,30,69.57,0,573,0,1
CTM,Decreasing,Y,Y,55.0,30,31.02,0,9999,1,1
MSM,Level with CI,Y,N,40.0,20,35.87,0,9999,1,1
Direct,Level,Y,N,53.0,15,35.87,0,9999,1,1
Direct,Decreasing accelerated,Y,N,37.0,10,25.0,0,9999,1,1
Direct,Level accelerated,Y,N,29.0,25,25.0,0,9999,1,1
CTM,Decreasing with CI,Y,N,56.0,40,29.4,0,9999,1,1
CTM,Level with CI,Y,Y,59.0,40,30.47,0,9999,1,1
MSM,Decreasing with CI,Y,Y,56.0,30,25.0,0,9999,1,1
MSM,Level accelerated,N,Y,45.0,20,23.42,0,572,0,1
Direct,Level with CI,Y,N,45.0,10,20.0,0,572,0,1
Direct,Level with CI,Y,Y,53.0,20,20.0,0,572,0,1
CTM,Level,N,N,33.0,5,5.6,0,574,0,1
Direct,Decreasing,Y,N,44.0,20,5.6,0,574,0,1
MSM,Decreasing,Y,N,49.0,30,29.33,1,9999,1,1
MSM,Level with CI,Y,Y,41.0,20,29.33,1,9999,1,1
Direct,Level with CI,Y,Y,48.0,30,29.33,1,9999,1,1
CTM,Level accelerated,Y,N,44.0,25,17.61,0,568,0,1
CTM,Decreasing,N,N,46.0,40,17.61,0,568,0,1
Direct,Level,N,N,51.0,20,17.21,0,568,0,1
MSM,Decreasing accelerated,Y,N,40.0,10,17.21,0,568,0,1
CTM,Level with CI,N,Y,45.0,20,18.6,0,568,0,1
MSM,Decreasing accelerated,Y,Y,44.0,20,15.0,0,568,0,1
CTM,Level with CI,N,Y,37.0,20,16.42,0,568,0,1
MSM,Level,Y,N,55.0,20,11.35,0,568,0,1
CTM,Decreasing,N,Y,35.0,25,16.42,1,568,0,1
CTM,Level,Y,N,49.0,30,16.42,1,568,0,1
CTM,Decreasing with CI,Y,N,46.0,20,28.43,0,567,0,1
CTM,Level accelerated,N,Y,47.0,20,46.06,0,567,0,1
Direct,Level,Y,Y,27.0,20,28.43,0,567,0,1
MSM,Decreasing accelerated,Y,N,38.0,30,20.03,0,567,0,1
Direct,Level with CI,Y,N,49.0,5,10.0,0,571,0,1
Direct,Decreasing with CI,Y,Y,55.0,10,10.0,0,571,0,1
CTM,Level,N,N,32.0,20,30.38,0,586,0,1
CTM,Decreasing,N,N,29.0,20,54.7,0,9999,1,1
MSM,Level,Y,N,33.0,20,54.7,0,9999,1,1
Direct,Level,Y,N,60.0,5,13.24,0,9999,1,1
MSM,Level,Y,Y,35.0,20,13.24,0,9999,1,1
CTM,Level accelerated,N,N,50.0,20,22.53,0,9999,1,1
CTM,Level with CI,Y,N,32.0,20,28.35,0,456,0,0
MSM,Decreasing with CI,N,N,60.0,30,36.0,0,580,0,1
CTM,Level,Y,Y,36.0,30,36.0,0,580,0,1
Direct,Level with CI,N,N,43.0,10,10.16,0,9999,1,1
CTM,Decreasing with CI,Y,N,49.0,30,9.78,0,9999,1,1
CTM,Decreasing with CI,N,Y,44.0,5,9.91,0,9999,1,1
MSM,Decreasing accelerated,Y,N,45.0,30,10.97,0,9999,1,1
CTM,Level,Y,N,47.0,35,9.59,0,9999,1,1
CTM,Decreasing with CI,Y,N,42.0,10,10.16,0,9999,1,1
MSM,Level with CI,Y,N,53.0,10,9.78,0,9999,1,1
MSM,Level accelerated,Y,Y,45.0,10,8.0,0,9999,1,1
CTM,Level accelerated,Y,N,52.0,20,19.96,0,573,0,1
CTM,Level,Y,N,49.0,35,79.01,0,564,0,1
CTM,Decreasing with CI,Y,N,42.0,30,31.84,0,542,0,1
Direct,Level,N,N,54.0,30,26.21,0,542,0,1
CTM,Level,Y,N,29.0,15,143.61,0,485,0,0
Direct,Level,N,Y,47.0,25,143.61,0,485,0,0
MSM,Level,Y,N,40.0,30,23.64,1,537,0,1
CTM,Decreasing,N,N,46.0,10,23.64,1,537,0,1
CTM,Decreasing,Y,N,45.0,20,23.64,1,537,0,1
Direct,Level with CI,N,N,41.0,20,14.76,0,560,0,1
CTM,Level,Y,Y,41.0,20,14.76,0,560,0,1
CTM,Level,Y,Y,55.0,10,23.01,0,551,0,1
MSM,Level with CI,N,N,46.0,25,21.32,0,587,0,1
MSM,Level,N,N,30.0,15,21.32,0,587,0,1
CTM,Level,Y,Y,51.0,10,20.77,0,507,0,0
CTM,Level,Y,N,46.0,10,19.81,0,472,0,0
Direct,Level with CI,Y,N,58.0,20,21.27,0,472,0,0
CTM,Level,N,Y,34.0,20,21.27,0,472,0,0
Direct,Decreasing,N,Y,49.0,30,16.91,0,472,0,0
Direct,Decreasing with CI,N,N,44.0,20,25.66,1,9999,1,1
MSM,Level,Y,N,39.0,15,21.96,1,9999,1,1
Direct,Decreasing,Y,N,46.0,5,18.43,1,9999,1,1
CTM,Level,Y,N,42.0,20,14.15,1,9999,1,1
CTM,Decreasing with CI,Y,N,42.0,5,268.12,0,573,0,1
CTM,Level,Y,Y,46.0,5,18.43,1,9999,1,1
Direct,Decreasing,Y,N,52.0,30,18.43,1,9999,1,1
CTM,Decreasing with CI,Y,Y,46.0,5,14.15,1,9999,1,1
CTM,Decreasing,N,N,47.0,30,10.96,1,9999,1,1
CTM,Level,N,N,48.0,30,24.89,0,575,0,1
Direct,Decreasing accelerated,Y,Y,33.0,40,20.0,0,9999,1,1
MSM,Decreasing with CI,Y,N,37.0,5,20.0,0,9999,1,1
Direct,Decreasing with CI,N,N,45.0,20,20.0,0,9999,1,1
Direct,Decreasing,Y,Y,35.0,10,20.0,0,9999,1,1
MSM,Level,Y,N,53.0,35,8.23,0,540,0,1
CTM,Level,N,Y,60.0,30,8.23,0,540,0,1
MSM,Level,N,Y,39.0,20,207.53,0,533,0,1
CTM,Level,Y,Y,49.0,30,207.53,0,533,0,1
CTM,Decreasing,Y,Y,35.0,10,28.5,0,514,0,1
Direct,Level,Y,Y,41.0,25,28.5,0,514,0,1
Direct,Decreasing,Y,N,37.0,30,43.52,0,564,0,1
Direct,Decreasing with CI,Y,Y,44.0,10,43.52,0,564,0,1
CTM,Level,N,N,46.0,30,13.59,0,477,0,0
CTM,Level,Y,N,49.0,20,31.73,1,9999,1,1
CTM,Level with CI,N,Y,52.0,10,30.04,1,9999,1,1
MSM,Decreasing,N,Y,24.0,30,31.73,1,9999,1,1
CTM,Decreasing,N,N,40.0,30,31.73,1,9999,1,1
CTM,Level,Y,Y,56.0,30,45.76,0,584,0,1
CTM,Level with CI,Y,N,46.0,20,40.66,0,585,0,1
CTM,Level,N,N,45.0,5,25.94,0,539,0,1
CTM,Decreasing with CI,N,N,41.0,40,25.94,0,539,0,1
MSM,Decreasing,Y,N,44.0,10,25.94,0,539,0,1
CTM,Level accelerated,N,Y,51.0,30,255.67,0,598,0,1
CTM,Decreasing with CI,Y,N,40.0,20,255.67,0,598,0,1
MSM,Level accelerated,N,N,45.0,5,255.67,0,598,0,1
Direct,Decreasing with CI,Y,Y,43.0,30,11.64,0,564,0,1
CTM,Level with CI,Y,N,46.0,20,11.64,0,564,0,1
CTM,Decreasing,Y,N,42.0,30,11.76,0,564,0,1
MSM,Level,N,N,48.0,10,12.66,1,587,0,1
Direct,Decreasing,Y,Y,50.0,25,13.0,1,587,0,1
CTM,Decreasing with CI,Y,N,51.0,5,13.0,1,587,0,1
Direct,Level with CI,N,N,52.0,25,13.0,1,587,0,1
CTM,Level,N,Y,43.0,30,10.0,1,587,0,1
Direct,Decreasing with CI,Y,N,46.0,20,4.26,1,483,0,0
Direct,Level accelerated,N,N,55.0,20,4.26,1,483,0,0
MSM,Level,Y,Y,44.0,20,5.8,1,483,0,0
CTM,Level,Y,Y,44.0,20,33.22,0,565,0,1
Direct,Decreasing with CI,N,N,44.0,5,33.22,0,565,0,1
CTM,Decreasing with CI,Y,Y,45.0,15,10.87,1,538,0,1
CTM,Decreasing with CI,Y,N,37.0,30,7.01,1,538,0,1
Direct,Decreasing,Y,N,34.0,10,7.01,1,538,0,1
CTM,Level,Y,N,32.0,10,6.53,1,538,0,1
CTM,Decreasing,Y,N,24.0,30,6.44,1,538,0,1
CTM,Decreasing with CI,N,Y,35.0,30,9.97,1,538,0,1
CTM,Decreasing,Y,N,46.0,10,6.92,1,538,0,1
MSM,Level,Y,N,36.0,30,6.46,1,538,0,1
Direct,Decreasing,N,N,48.0,30,6.82,1,538,0,1
CTM,Level,Y,N,53.0,5,7.01,1,538,0,1
MSM,Level with CI,N,Y,44.0,30,26.58,0,576,0,1
MSM,Level,Y,N,33.0,20,59.0,0,549,0,1
CTM,Level,Y,Y,49.0,40,24.18,0,549,0,1
MSM,Decreasing,Y,Y,42.0,40,24.18,0,549,0,1
CTM,Decreasing,Y,Y,37.0,30,24.18,0,549,0,1
Direct,Level,Y,N,35.0,10,16.26,0,9999,1,1
CTM,Decreasing accelerated,N,Y,46.0,10,16.26,0,9999,1,1
MSM,Decreasing,Y,N,40.0,20,16.26,0,9999,1,1
CTM,Decreasing,N,N,42.0,20,19.41,0,9999,1,1
MSM,Decreasing,Y,N,47.0,5,19.41,0,9999,1,1
CTM,Level,N,N,45.0,20,9.99,1,555,0,1
CTM,Decreasing,Y,N,42.0,20,10.09,1,555,0,1
Direct,Decreasing with CI,Y,N,42.0,20,9.99,1,555,0,1
CTM,Level,N,Y,51.0,5,9.99,1,555,0,1
Direct,Level,Y,N,50.0,20,43.56,1,526,0,1
CTM,Decreasing with CI,N,Y,48.0,5,43.56,1,526,0,1
CTM,Decreasing,N,Y,45.0,30,43.56,1,526,0,1
CTM,Level,Y,N,47.0,20,77.99,0,551,0,1
Direct,Decreasing with CI,N,Y,58.0,35,27.44,0,551,0,1
Direct,Level,N,Y,57.0,10,72.25,0,570,0,1
Direct,Level,N,Y,41.0,20,25.88,0,551,0,1
Direct,Level with CI,Y,Y,34.0,5,29.36,0,559,0,1
CTM,Level,Y,Y,46.0,20,29.36,0,559,0,1
CTM,Decreasing accelerated,Y,Y,41.0,30,5.96,0,559,0,1
CTM,Level,Y,N,60.0,5,5.96,0,559,0,1
Direct,Decreasing,N,N,27.0,20,5.54,0,559,0,1
Direct,Level with CI,Y,Y,48.0,30,5.06,0,9999,1,1
CTM,Decreasing,N,N,34.0,20,5.06,0,9999,1,1
CTM,Decreasing accelerated,N,Y,51.0,25,5.06,0,9999,1,1
MSM,Level,Y,N,39.0,30,5.06,0,9999,1,1
CTM,Decreasing with CI,Y,Y,34.0,20,16.51,0,566,0,1
CTM,Level,Y,N,48.0,20,16.51,0,566,0,1
CTM,Level,Y,N,40.0,10,318.02,0,9999,1,1
Direct,Level with CI,Y,N,38.0,30,26.05,0,9999,1,1
Direct,Decreasing,Y,Y,23.0,20,35.22,0,551,0,1
CTM,Level,N,N,47.0,35,43.51,0,499,1,1
CTM,Level with CI,Y,N,39.0,20,8.12,0,523,0,1
MSM,Level,N,Y,44.0,5,5.8,1,483,0,0
Direct,Decreasing with CI,Y,N,49.0,20,15.41,0,473,1,1
Direct,Level,Y,N,41.0,35,60.55,0,9999,1,1
CTM,Decreasing with CI,Y,N,46.0,20,16.55,0,9999,1,1
CTM,Level with CI,N,Y,50.0,20,60.78,0,565,0,1
MSM,Level,Y,N,45.0,30,13.2,0,458,1,1
CTM,Decreasing with CI,N,Y,30.0,20,91.13,0,9999,1,1
CTM,Level with CI,Y,N,32.0,30,85.14,0,9999,1,1
MSM,Level,Y,N,50.0,20,81.72,0,9999,1,1
Direct,Decreasing with CI,Y,N,42.0,10,78.29,0,9999,1,1
CTM,Decreasing,Y,N,53.0,15,76.58,0,9999,1,1
CTM,Decreasing with CI,N,Y,43.0,20,76.58,0,9999,1,1
Direct,Level,N,N,42.0,35,32.65,0,576,0,1
MSM,Level,Y,N,46.0,20,32.65,0,576,0,1
MSM,Decreasing with CI,Y,N,44.0,20,26.61,0,471,1,1
CTM,Level,N,N,49.0,15,25.69,0,512,1,1
MSM,Level with CI,Y,N,35.0,20,25.69,0,512,1,1
CTM,Level,N,N,53.0,30,33.83,0,571,0,1
CTM,Decreasing with CI,N,N,54.0,30,19.46,0,9999,1,1
CTM,Decreasing with CI,N,N,56.0,30,19.46,0,9999,1,1
CTM,Decreasing,Y,N,35.0,30,19.46,0,9999,1,1
MSM,Level,Y,Y,27.0,20,10.83,0,9999,1,1
Direct,Level,N,Y,58.0,30,10.83,0,9999,1,1
CTM,Level with CI,Y,Y,40.0,15,9.31,0,527,0,1
CTM,Level with CI,Y,N,40.0,40,9.31,0,527,0,1
MSM,Decreasing with CI,Y,N,45.0,10,14.94,0,578,0,1
Direct,Level,N,N,51.0,35,17.27,0,578,0,1
Direct,Decreasing with CI,Y,N,53.0,20,12.62,0,578,0,1
CTM,Level,N,Y,34.0,20,17.27,0,578,0,1
MSM,Level with CI,N,Y,47.0,25,7.0,0,569,0,1
CTM,Level,N,N,45.0,30,9.64,0,569,0,1
CTM,Decreasing,N,Y,53.0,35,7.87,0,569,0,1
MSM,Decreasing,Y,Y,47.0,20,7.87,0,569,0,1
CTM,Decreasing accelerated,Y,Y,27.0,20,8.06,0,549,0,1
CTM,Level with CI,N,N,53.0,20,8.06,0,549,0,1
CTM,Decreasing,Y,N,57.0,20,38.63,0,549,0,1
CTM,Decreasing with CI,Y,Y,42.0,30,14.35,0,556,0,1
CTM,Decreasing accelerated,Y,N,47.0,20,22.0,0,566,0,1
CTM,Decreasing with CI,N,N,33.0,10,17.27,0,578,0,1
Direct,Level,Y,Y,26.0,5,11.01,1,9999,1,1
MSM,Level,Y,N,44.0,10,11.01,1,9999,1,1
CTM,Decreasing,Y,N,34.0,10,11.01,1,9999,1,1
MSM,Level,Y,Y,56.0,25,18.54,1,9999,1,1
MSM,Level,N,N,40.0,5,16.03,1,9999,1,1
CTM,Decreasing with CI,Y,N,33.0,20,15.49,1,9999,1,1
Direct,Decreasing with CI,Y,Y,38.0,30,11.01,1,9999,1,1
Direct,Level,Y,Y,58.0,25,10.53,1,9999,1,1
CTM,Decreasing accelerated,Y,N,47.0,10,11.01,1,9999,1,1
CTM,Decreasing with CI,Y,Y,44.0,20,19.15,1,9999,1,1
CTM,Level with CI,Y,N,50.0,20,9.31,0,9999,1,1
CTM,Decreasing with CI,Y,N,43.0,15,9.31,0,9999,1,1
CTM,Level,Y,Y,43.0,10,9.31,0,9999,1,1
CTM,Level accelerated,Y,Y,45.0,20,51.25,0,9999,1,1
MSM,Level,Y,Y,59.0,5,59.61,0,557,0,1
Direct,Decreasing with CI,N,N,46.0,20,35.52,0,557,0,1
CTM,Level accelerated,Y,N,51.0,30,35.52,0,557,0,1
CTM,Level,N,Y,45.0,20,32.95,0,551,0,1
MSM,Decreasing accelerated,Y,N,53.0,15,112.29,0,551,0,1
Direct,Level,Y,N,33.0,5,41.25,0,572,0,1
Direct,Level,Y,N,50.0,20,41.25,0,572,0,1
MSM,Decreasing,N,N,40.0,20,63.33,0,551,0,1
Direct,Level,N,N,37.0,35,69.22,0,551,0,1
Direct,Decreasing with CI,N,Y,42.0,20,32.95,0,551,0,1
Direct,Level,Y,N,44.0,40,20.11,0,566,0,1
CTM,Decreasing,N,Y,45.0,5,76.04,0,566,0,1
CTM,Decreasing with CI,Y,N,44.0,20,70.57,0,566,0,1
Direct,Level,Y,N,47.0,30,83.34,0,566,0,1
MSM,Level,Y,Y,33.0,30,88.81,0,566,0,1
CTM,Level,Y,N,42.0,30,88.81,0,566,0,1
CTM,Level,Y,N,37.0,25,12.91,0,569,0,1
Direct,Level,Y,N,63.0,20,9.0,1,569,0,1
CTM,Level,N,N,40.0,30,9.0,1,569,0,1
MSM,Level with CI,N,N,45.0,30,9.0,1,569,0,1
Direct,Decreasing,Y,N,41.0,30,8.06,0,569,0,1
CTM,Decreasing with CI,Y,N,42.0,5,7.88,1,569,0,1
MSM,Level with CI,N,Y,39.0,20,34.02,1,562,0,1
CTM,Decreasing with CI,N,N,45.0,30,23.66,1,562,0,1
CTM,Level,Y,N,34.0,20,25.24,0,579,0,1
CTM,Decreasing accelerated,Y,Y,49.0,20,25.24,0,579,0,1
MSM,Level with CI,N,N,47.0,30,10.59,0,575,0,1
MSM,Level,Y,N,43.0,20,10.59,0,575,0,1
CTM,Level with CI,Y,Y,59.0,20,20.88,0,572,0,1
CTM,Level with CI,Y,Y,35.0,20,20.88,0,572,0,1
CTM,Decreasing accelerated,Y,Y,63.0,15,5.06,0,9999,1,1
CTM,Decreasing with CI,Y,N,51.0,10,5.06,0,9999,1,1
Direct,Level,N,N,45.0,40,5.06,0,9999,1,1
CTM,Level with CI,Y,N,45.0,5,5.06,0,9999,1,1
CTM,Level with CI,Y,N,29.0,30,9.99,1,546,0,1
CTM,Decreasing with CI,N,N,42.0,30,9.99,1,546,0,1
MSM,Level,N,Y,35.0,20,62.0,0,551,0,1
Direct,Level with CI,Y,Y,49.0,10,6.29,1,569,0,1
MSM,Level,N,N,50.0,20,27.43,0,9999,1,1
Direct,Level,Y,Y,58.0,5,29.17,0,574,0,1
Direct,Level with CI,Y,Y,54.0,30,29.17,0,574,0,1
CTM,Decreasing with CI,Y,N,47.0,5,29.17,0,574,0,1
Direct,Decreasing with CI,Y,Y,47.0,10,23.66,1,562,0,1
Direct,Level with CI,N,N,44.0,40,82.46,0,9999,1,1
MSM,Level with CI,Y,N,59.0,20,82.46,0,9999,1,1
MSM,Decreasing accelerated,Y,N,47.0,20,115.05,0,9999,1,1
CTM,Level,Y,Y,58.0,30,10.84,0,9999,1,1
MSM,Level,Y,N,47.0,20,20.99,0,9999,1,1
CTM,Level,Y,N,33.0,40,12.64,0,559,0,1
MSM,Level,Y,N,47.0,20,12.64,0,559,0,1
MSM,Level accelerated,Y,N,23.0,20,14.55,0,559,0,1
Direct,Level,Y,Y,45.0,20,10.89,0,9999,1,1
CTM,Decreasing,Y,Y,46.0,20,54.7,0,577,0,1
CTM,Decreasing,N,Y,58.0,25,54.7,0,577,0,1
Direct,Level,Y,N,46.0,30,36.28,0,566,0,1
MSM,Level with CI,N,N,39.0,30,68.22,0,566,0,1
Direct,Decreasing,Y,N,31.0,20,36.28,0,566,0,1
CTM,Decreasing with CI,N,N,37.0,30,23.81,0,566,0,1
MSM,Level with CI,N,N,45.0,20,62.76,0,9999,1,1
MSM,Decreasing,Y,Y,35.0,20,11.6,0,587,0,1
CTM,Level,Y,Y,33.0,30,21.37,0,584,0,1
Direct,Decreasing accelerated,Y,Y,45.0,10,20.79,0,584,0,1
CTM,Decreasing,Y,Y,38.0,20,20.79,0,584,0,1
MSM,Level,N,N,26.0,10,52.72,0,556,0,1
CTM,Decreasing with CI,Y,N,52.0,20,52.72,0,556,0,1
Direct,Decreasing,N,Y,42.0,20,15.76,0,577,0,1
CTM,Level with CI,Y,N,42.0,30,15.76,0,577,0,1
MSM,Level,N,Y,44.0,10,71.02,0,568,0,1
CTM,Decreasing,Y,Y,51.0,20,71.02,0,568,0,1
CTM,Level,Y,N,46.0,25,12.56,0,568,0,1
CTM,Level with CI,N,Y,45.0,30,14.53,0,559,0,1
MSM,Level,N,N,44.0,40,14.53,0,559,0,1
CTM,Level,N,N,49.0,20,16.7,0,574,0,1
CTM,Level with CI,Y,Y,47.0,20,16.7,0,574,0,1
Direct,Decreasing accelerated,N,Y,39.0,30,18.57,0,562,0,1
Direct,Decreasing with CI,N,Y,49.0,20,20.0,0,562,0,1
Direct,Decreasing,Y,Y,36.0,10,20.0,0,562,0,1
CTM,Level,N,N,52.0,30,10.72,0,579,0,1
MSM,Decreasing with CI,Y,N,50.0,10,10.72,0,579,0,1
Direct,Level,Y,Y,29.0,5,33.76,0,489,1,1
MSM,Decreasing with CI,N,N,40.0,20,33.76,0,489,1,1
CTM,Level,Y,N,34.0,5,11.09,0,568,0,1
MSM,Decreasing with CI,Y,Y,42.0,30,8.62,0,568,0,1
Direct,Level,Y,N,22.0,30,28.37,0,548,0,1
MSM,Decreasing with CI,N,Y,39.0,5,28.37,0,548,0,1
Direct,Level,Y,Y,47.0,30,28.37,0,548,0,1
CTM,Level,N,Y,47.0,20,14.28,0,556,0,1
Direct,Level,Y,N,20.0,5,14.28,0,556,0,1
CTM,Level,Y,N,46.0,20,16.84,0,556,0,1
MSM,Level,Y,Y,44.0,20,17.77,0,556,0,1
CTM,Decreasing,Y,Y,48.0,10,17.31,0,556,0,1
MSM,Level,N,Y,41.0,30,68.98,0,566,0,1
Direct,Decreasing with CI,Y,Y,33.0,20,68.98,0,566,0,1
CTM,Level,Y,N,44.0,25,9.1,0,566,0,1
CTM,Level,Y,Y,39.0,10,9.1,0,566,0,1
CTM,Decreasing with CI,Y,Y,46.0,20,32.08,0,566,0,1
